銘柄コード,日時,数量,約定価格,終値,約定代金,手数料,取得費（税抜）,実現損益,評価損益,コード
QURE,"2021-03-29, 15:50:01",-1,30.215,30.17,30.215,-0.305423097,-31.2595,-1.349923,0.045,C
QURE,,0,,,-0.735,-0.614923097,0,-1.349923,-0.735,
REAL,"2021-05-24, 11:02:38",5,15.71,15.93,-78.55,-0.8005,79.3505,0,1.1,O
REAL,"2021-05-24, 12:40:50",-5,15.58,15.93,77.9,-0.79499229,-79.3505,-2.245492,-1.75,C
REAL,,0,,,-0.65,-1.59549229,0,-2.245492,-0.65,
RHE,"2021-05-07, 12:31:50",5,19.09,18.6,-95.45,-0.9545,96.4045,0,-2.45,O
RHE,"2021-05-07, 12:47:44",-5,18.07,18.6,90.35,-0.904555785,-96.4045,-6.959056,-2.65,C
RHE,,0,,,-5.1,-1.859055785,0,-6.959056,-5.1,
RICE,"2021-04-08, 10:30:46",2,13.42,15.32,-26.84,-0.2684,27.1084,0,3.8,O
RICE,"2021-04-13, 15:35:58",-2,16.26,15.9,32.52,-0.325603852,-27.1084,5.085996,0.72,C
RICE,,0,,,5.68,-0.594003852,0,5.085996,4.52,
SBLK,"2021-04-19, 11:40:09",3,17.16,17.01,-51.48,-0.5238,52.0038,0,-0.45,O
SBLK,"2021-04-20, 09:30:03",-3,16.81,16.5,50.43,-0.504914193,-52.0038,-2.078714,0.93,C
SBLK,,0,,,-1.05,-1.028714193,0,-2.078714,0.48,
SCOR,"2021-03-19, 10:52:05",4,3.9173,3.66,-15.6692,-0.156692,15.825892,0,-1.0292,O
SCOR,"2021-03-19, 11:09:53",-4,3.82,3.66,15.28,-0.153353928,-15.825892,-0.699246,0.64,C
SCOR,,0,,,-0.3892,-0.310045928,0,-0.699246,-0.3892,
SKLZ,"2021-04-23, 10:31:33",4,17.2,18.17,-68.8,-0.6992,69.4992,0,3.88,O
SKLZ,"2021-04-23, 10:38:34",-4,16.98,18.17,67.92,-0.683622392,-69.4992,-2.262822,-4.76,C
SKLZ,"2021-05-07, 12:37:32",7,15.91,15.71,-111.37,-1,112.37,0,-1.4,O
SKLZ,"2021-05-07, 13:17:53",-7,15.66,15.71,109.62,-1.001392062,-112.37,-3.751392,-0.35,C
SKLZ,,0,,,-2.63,-3.384214454,0,-6.014214,-2.63,
SLB,"2021-05-10, 14:07:35",2,32.065,31.63,-64.13,-0.6413,64.7713,0,-0.87,O
SLB,"2021-05-10, 15:53:42",-2,31.71,31.63,63.42,-0.634761442,-64.7713,-1.986061,0.16,C
SLB,,0,,,-0.71,-1.276061442,0,-1.986061,-0.71,
SLV,"2021-04-21, 10:18:01",2,24.44,24.7,-48.88,-0.4888,49.3688,0,0.52,O
SLV,"2021-04-22, 09:48:44",-2,24.34,24.21,48.68,-0.492486268,-49.3688,-1.181286,0.26,C
SLV,,0,,,-0.2,-0.981286268,0,-1.181286,0.78,
SM,"2021-05-18, 10:30:31",3,18.93,18.51,-56.79,-0.5679,57.3579,0,-1.26,O
SM,"2021-05-18, 11:01:12",-3,18.58,18.51,55.74,-0.558041274,-57.3579,-2.175941,0.21,C
SM,,0,,,-1.05,-1.125941274,0,-2.175941,-1.05,
SNES,"2021-03-19, 10:30:26",7,2.34,2.27,-16.38,-0.182,16.562,0,-0.49,O
SNES,"2021-03-22, 09:30:01",-7,2.15,1.99,15.05,-0.172409755,-16.562,-1.68441,1.12,C
SNES,,0,,,-1.33,-0.354409755,0,-1.68441,0.63,
SPCB,"2021-03-19, 10:30:09",7,2.285,2.24,-15.995,-0.15995,16.15495,0,-0.315,O
SPCB,"2021-03-22, 09:30:57",-7,2.02,1.85,14.14,-0.142305114,-16.15495,-2.157255,1.19,C
SPCB,,0,,,-1.855,-0.302255114,0,-2.157255,0.875,
STLA,"2021-04-05, 10:35:05",1,18.37,18.32,-18.37,-0.1837,18.5537,0,-0.05,O
STLA,"2021-04-06, 09:30:00",-1,18.06,18.18,18.06,-0.183811106,-18.5537,-0.677511,-0.12,C
STLA,,0,,,-0.31,-0.367511106,0,-0.677511,-0.17,
SUMR,"2021-03-22, 10:54:23",1,17.29,18.02,-17.29,-0.1729,17.4629,0,0.73,O
SUMR,"2021-03-22, 10:56:26",-1,19.57,18.02,19.57,-0.195918807,-17.4629,1.911181,1.55,C
SUMR,,0,,,2.28,-0.368818807,0,1.911181,2.28,
T,"2021-05-10, 13:09:03",1,32.825,32.63,-32.825,-0.32825,33.15325,0,-0.195,O
T,"2021-05-10, 14:20:49",-1,32.695,32.63,32.695,-0.327235745,-33.15325,-0.785486,0.065,C
T,,0,,,-0.13,-0.655485745,0,-0.785486,-0.13,
TAK,"2021-05-21, 09:50:00",5,17.49,17.42,-87.45,-0.8895,88.3395,0,-0.35,O
TAK,"2021-05-21, 10:39:01",-5,17.445,17.42,87.225,-0.873289847,-88.3395,-1.98779,0.125,C
TAK,,0,,,-0.225,-1.762789847,0,-1.98779,-0.225,
